,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
143,2,1,2,2,1,1,1,2,0,8
144,0,0,0,0,0,0,0,0,0,4
145,0,0,0,0,1,0,0,0,0,0
146,2,0,0,0,1,0,0,0,0,1
147,2,1,0,0,1,0,0,0,0,7
148,2,1,0,0,1,0,0,2,0,3
149,2,1,0,1,1,0,0,2,0,5
150,2,1,0,1,1,2,0,2,0,2
151,2,1,1,1,1,2,0,2,0,6
152,2,1,1,1,1,2,2,2,0,8
153,0,0,0,0,0,0,0,0,0,4
154,0,0,0,0,1,0,0,0,0,0
155,2,0,0,0,1,0,0,0,0,6
156,2,0,0,0,1,0,1,0,0,2
157,2,0,2,0,1,0,1,0,0,1
158,2,1,2,0,1,0,1,0,0,7
159,2,1,2,0,1,0,1,2,0,5
160,2,1,2,0,1,1,1,2,0,3
161,2,1,2,2,1,1,1,2,0,8
162,0,0,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0,4
164,1,0,0,0,2,0,0,0,0,2
165,1,0,1,0,2,0,0,0,0,1
166,1,2,1,0,2,0,0,0,0,3
167,1,2,1,1,2,0,0,0,0,6
168,1,2,1,1,2,0,2,0,0,7
169,1,2,1,1,2,0,2,1,0,8
170,1,2,1,1,2,0,2,1,2,5
171,0,0,0,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0,4
173,1,0,0,0,2,0,0,0,0,6
174,1,0,0,0,2,0,1,0,0,3
175,1,0,0,2,2,0,1,0,0,1
176,1,1,0,2,2,0,1,0,0,2
177,1,1,2,2,2,0,1,0,0,5
178,1,1,2,2,2,1,1,0,0,8
179,1,1,2,2,2,1,1,0,2,7
180,0,0,0,0,0,0,0,0,0,4
181,0,0,0,0,1,0,0,0,0,0
182,2,0,0,0,1,0,0,0,0,1
183,2,1,0,0,1,0,0,0,0,7
184,2,1,0,0,1,0,0,2,0,6
185,2,1,0,0,1,0,1,2,0,2
186,2,1,2,0,1,0,1,2,0,5
187,2,1,2,0,1,1,1,2,0,3
188,2,1,2,2,1,1,1,2,0,8
189,0,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,0,0,0,0,4
191,1,0,0,0,2,0,0,0,0,2
192,1,0,1,0,2,0,0,0,0,1
193,1,2,1,0,2,0,0,0,0,3
194,1,2,1,1,2,0,0,0,0,6
195,1,2,1,1,2,0,2,0,0,7
196,1,2,1,1,2,0,2,1,0,5
197,1,2,1,1,2,2,2,1,0,8
198,0,0,0,0,0,0,0,0,0,0
199,1,0,0,0,0,0,0,0,0,4
200,1,0,0,0,2,0,0,0,0,2
201,1,0,1,0,2,0,0,0,0,1
202,1,2,1,0,2,0,0,0,0,3
203,1,2,1,1,2,0,0,0,0,6
204,1,2,1,1,2,0,2,0,0,7
205,1,2,1,1,2,0,2,1,0,5
206,1,2,1,1,2,2,2,1,0,8
207,0,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,0,0,4
209,1,0,0,0,2,0,0,0,0,2
210,1,0,1,0,2,0,0,0,0,1
211,1,2,1,0,2,0,0,0,0,3
212,1,2,1,1,2,0,0,0,0,6
213,1,2,1,1,2,0,2,0,0,7
214,1,2,1,1,2,0,2,1,0,5
215,1,2,1,1,2,2,2,1,0,8
216,0,0,0,0,0,0,0,0,0,0
217,1,0,0,0,0,0,0,0,0,4
218,1,0,0,0,2,0,0,0,0,6
219,1,0,0,0,2,0,1,0,0,3
220,1,0,0,2,2,0,1,0,0,1
221,1,1,0,2,2,0,1,0,0,2
222,1,1,2,2,2,0,1,0,0,5
223,1,1,2,2,2,1,1,0,0,7
224,1,1,2,2,2,1,1,2,0,8
225,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,0,0,0,4
227,1,0,0,0,2,0,0,0,0,6
228,1,0,0,0,2,0,1,0,0,3
229,1,0,0,2,2,0,1,0,0,1
230,1,1,0,2,2,0,1,0,0,2
231,1,1,2,2,2,0,1,0,0,5
232,1,1,2,2,2,1,1,0,0,8
