,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
143,0,0,0,0,1,0,0,0,0,0
144,2,0,0,0,1,0,0,0,0,6
145,2,0,0,0,1,0,1,0,0,2
146,2,0,2,0,1,0,1,0,0,1
147,2,1,2,0,1,0,1,0,0,7
148,2,1,2,0,1,0,1,2,0,5
149,2,1,2,0,1,1,1,2,0,3
150,2,1,2,2,1,1,1,2,0,8
151,0,0,0,0,0,0,0,0,0,1
152,0,1,0,0,0,0,0,0,0,4
153,0,1,0,0,2,0,0,0,0,0
154,1,1,0,0,2,0,0,0,0,2
155,1,1,2,0,2,0,0,0,0,6
156,1,1,2,0,2,0,1,0,0,3
157,1,1,2,2,2,0,1,0,0,5
158,1,1,2,2,2,1,1,0,0,7
159,1,1,2,2,2,1,1,2,0,8
160,0,0,0,0,0,0,0,0,0,4
161,0,0,0,0,1,0,0,0,0,0
162,2,0,0,0,1,0,0,0,0,6
163,2,0,0,0,1,0,1,0,0,2
164,2,0,2,0,1,0,1,0,0,1
165,2,1,2,0,1,0,1,0,0,7
166,2,1,2,0,1,0,1,2,0,5
167,2,1,2,0,1,1,1,2,0,3
168,2,1,2,2,1,1,1,2,0,8
169,0,0,0,0,0,0,0,0,0,4
170,0,0,0,0,1,0,0,0,0,0
171,2,0,0,0,1,0,0,0,0,6
172,2,0,0,0,1,0,1,0,0,2
173,2,0,2,0,1,0,1,0,0,1
174,2,1,2,0,1,0,1,0,0,7
175,2,1,2,0,1,0,1,2,0,5
176,2,1,2,0,1,1,1,2,0,3
177,2,1,2,2,1,1,1,2,0,8
178,0,0,0,0,0,0,0,0,0,0
179,1,0,0,0,0,0,0,0,0,4
180,1,0,0,0,2,0,0,0,0,3
181,1,0,0,1,2,0,0,0,0,6
182,1,0,0,1,2,0,2,0,0,2
183,1,0,1,1,2,0,2,0,0,1
184,1,2,1,1,2,0,2,0,0,7
185,1,2,1,1,2,0,2,1,0,8
186,1,2,1,1,2,0,2,1,2,5
187,0,0,0,0,0,0,0,0,0,4
188,0,0,0,0,1,0,0,0,0,0
189,2,0,0,0,1,0,0,0,0,2
190,2,0,1,0,1,0,0,0,0,6
191,2,0,1,0,1,0,2,0,0,3
192,2,0,1,1,1,0,2,0,0,5
193,2,0,1,1,1,2,2,0,0,7
194,2,0,1,1,1,2,2,1,0,1
195,2,2,1,1,1,2,2,1,0,8
196,0,0,0,0,0,0,0,0,0,4
197,0,0,0,0,1,0,0,0,0,0
198,2,0,0,0,1,0,0,0,0,3
199,2,0,0,1,1,0,0,0,0,5
