,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,4
2,1,0,0,0,2,0,0,0,0,2
3,1,0,1,0,2,0,0,0,0,1
4,1,2,1,0,2,0,0,0,0,3
5,1,2,1,1,2,0,0,0,0,6
6,1,2,1,1,2,0,2,0,0,7
7,1,2,1,1,2,0,2,1,0,8
8,1,2,1,1,2,0,2,1,2,5
9,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,4
11,1,0,0,0,2,0,0,0,0,2
12,1,0,1,0,2,0,0,0,0,1
13,1,2,1,0,2,0,0,0,0,3
14,1,2,1,1,2,0,0,0,0,6
15,1,2,1,1,2,0,2,0,0,7
16,1,2,1,1,2,0,2,1,0,8
17,1,2,1,1,2,0,2,1,2,5
18,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,4
20,1,0,0,0,2,0,0,0,0,2
21,1,0,1,0,2,0,0,0,0,1
22,1,2,1,0,2,0,0,0,0,3
23,1,2,1,1,2,0,0,0,0,6
24,1,2,1,1,2,0,2,0,0,7
25,1,2,1,1,2,0,2,1,0,8
26,1,2,1,1,2,0,2,1,2,5
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,6
30,1,0,0,0,2,0,1,0,0,3
31,1,0,0,2,2,0,1,0,0,1
32,1,1,0,2,2,0,1,0,0,2
33,1,1,2,2,2,0,1,0,0,5
34,1,1,2,2,2,1,1,0,0,7
35,1,1,2,2,2,1,1,2,0,8
36,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0,0,4
38,1,0,0,0,2,0,0,0,0,2
39,1,0,1,0,2,0,0,0,0,1
40,1,2,1,0,2,0,0,0,0,3
41,1,2,1,1,2,0,0,0,0,6
42,1,2,1,1,2,0,2,0,0,7
43,1,2,1,1,2,0,2,1,0,5
44,1,2,1,1,2,2,2,1,0,8
45,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,4
47,1,0,0,0,2,0,0,0,0,2
48,1,0,1,0,2,0,0,0,0,1
49,1,2,1,0,2,0,0,0,0,3
50,1,2,1,1,2,0,0,0,0,6
51,1,2,1,1,2,0,2,0,0,7
52,1,2,1,1,2,0,2,1,0,5
53,1,2,1,1,2,2,2,1,0,8
54,0,0,0,0,0,0,0,0,0,4
55,0,0,0,0,1,0,0,0,0,0
56,2,0,0,0,1,0,0,0,0,6
57,2,0,0,0,1,0,1,0,0,2
58,2,0,2,0,1,0,1,0,0,1
59,2,1,2,0,1,0,1,0,0,7
60,2,1,2,0,1,0,1,2,0,5
61,2,1,2,0,1,1,1,2,0,3
62,2,1,2,2,1,1,1,2,0,8
63,0,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,4
65,1,0,0,0,2,0,0,0,0,6
66,1,0,0,0,2,0,1,0,0,3
67,1,0,0,2,2,0,1,0,0,1
68,1,1,0,2,2,0,1,0,0,2
69,1,1,2,2,2,0,1,0,0,5
70,1,1,2,2,2,1,1,0,0,8
71,1,1,2,2,2,1,1,0,2,7
72,0,0,0,0,0,0,0,0,0,4
73,0,0,0,0,1,0,0,0,0,0
74,2,0,0,0,1,0,0,0,0,3
75,2,0,0,1,1,0,0,0,0,5
76,2,0,0,1,1,2,0,0,0,2
77,2,0,1,1,1,2,0,0,0,6
78,2,0,1,1,1,2,2,0,0,7
79,2,0,1,1,1,2,2,1,0,1
80,2,2,1,1,1,2,2,1,0,8
81,0,0,0,0,0,0,0,0,0,6
82,0,0,0,0,0,0,1,0,0,4
83,0,0,0,0,2,0,1,0,0,0
84,1,0,0,0,2,0,1,0,0,3
85,1,0,0,2,2,0,1,0,0,1
86,1,1,0,2,2,0,1,0,0,2
87,1,1,2,2,2,0,1,0,0,5
88,1,1,2,2,2,1,1,0,0,7
89,1,1,2,2,2,1,1,2,0,8
90,0,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,4
92,1,0,0,0,2,0,0,0,0,6
93,1,0,0,0,2,0,1,0,0,3
94,1,0,0,2,2,0,1,0,0,1
95,1,1,0,2,2,0,1,0,0,2
96,1,1,2,2,2,0,1,0,0,5
97,1,1,2,2,2,1,1,0,0,8
98,1,1,2,2,2,1,1,0,2,7
99,0,0,0,0,0,0,0,0,0,4
100,0,0,0,0,1,0,0,0,0,0
101,2,0,0,0,1,0,0,0,0,3
102,2,0,0,1,1,0,0,0,0,5
103,2,0,0,1,1,2,0,0,0,2
104,2,0,1,1,1,2,0,0,0,6
105,2,0,1,1,1,2,2,0,0,1
106,2,1,1,1,1,2,2,0,0,7
107,2,1,1,1,1,2,2,2,0,8
108,0,0,0,0,0,0,0,0,0,4
109,0,0,0,0,1,0,0,0,0,0
110,2,0,0,0,1,0,0,0,0,1
111,2,1,0,0,1,0,0,0,0,7
112,2,1,0,0,1,0,0,2,0,6
113,2,1,0,0,1,0,1,2,0,2
114,2,1,2,0,1,0,1,2,0,5
115,2,1,2,0,1,1,1,2,0,3
116,2,1,2,2,1,1,1,2,0,8
117,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0,4
119,1,0,0,0,2,0,0,0,0,2
120,1,0,1,0,2,0,0,0,0,1
121,1,2,1,0,2,0,0,0,0,3
122,1,2,1,1,2,0,0,0,0,6
123,1,2,1,1,2,0,2,0,0,7
124,1,2,1,1,2,0,2,1,0,5
125,1,2,1,1,2,2,2,1,0,8
126,0,0,0,0,0,0,0,0,0,4
127,0,0,0,0,1,0,0,0,0,0
128,2,0,0,0,1,0,0,0,0,1
129,2,1,0,0,1,0,0,0,0,7
130,2,1,0,0,1,0,0,2,0,6
131,2,1,0,0,1,0,1,2,0,2
132,2,1,2,0,1,0,1,2,0,3
133,2,1,2,1,1,0,1,2,0,5
134,2,1,2,1,1,2,1,2,0,8
135,0,0,0,0,0,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0,4
137,1,0,0,0,2,0,0,0,0,6
138,1,0,0,0,2,0,1,0,0,3
139,1,0,0,2,2,0,1,0,0,1
140,1,1,0,2,2,0,1,0,0,2
141,1,1,2,2,2,0,1,0,0,5
142,1,1,2,2,2,1,1,0,0,8
143,1,1,2,2,2,1,1,0,2,7
144,0,0,0,0,0,0,0,0,0,0
145,1,0,0,0,0,0,0,0,0,4
146,1,0,0,0,2,0,0,0,0,2
147,1,0,1,0,2,0,0,0,0,1
148,1,2,1,0,2,0,0,0,0,3
149,1,2,1,1,2,0,0,0,0,6
150,1,2,1,1,2,0,2,0,0,7
151,1,2,1,1,2,0,2,1,0,5
152,1,2,1,1,2,2,2,1,0,8
153,0,0,0,0,0,0,0,0,0,4
154,0,0,0,0,1,0,0,0,0,0
155,2,0,0,0,1,0,0,0,0,3
156,2,0,0,1,1,0,0,0,0,5
157,2,0,0,1,1,2,0,0,0,2
158,2,0,1,1,1,2,0,0,0,6
159,2,0,1,1,1,2,2,0,0,1
160,2,1,1,1,1,2,2,0,0,7
161,2,1,1,1,1,2,2,2,0,8
162,0,0,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0,4
164,1,0,0,0,2,0,0,0,0,6
165,1,0,0,0,2,0,1,0,0,3
166,1,0,0,2,2,0,1,0,0,1
167,1,1,0,2,2,0,1,0,0,2
168,1,1,2,2,2,0,1,0,0,5
169,1,1,2,2,2,1,1,0,0,8
170,1,1,2,2,2,1,1,0,2,7
171,0,0,0,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0,4
173,1,0,0,0,2,0,0,0,0,6
174,1,0,0,0,2,0,1,0,0,3
175,1,0,0,2,2,0,1,0,0,1
176,1,1,0,2,2,0,1,0,0,2
177,1,1,2,2,2,0,1,0,0,5
178,1,1,2,2,2,1,1,0,0,7
179,1,1,2,2,2,1,1,2,0,8
180,0,0,0,0,0,0,0,0,0,0
181,1,0,0,0,0,0,0,0,0,4
182,1,0,0,0,2,0,0,0,0,2
183,1,0,1,0,2,0,0,0,0,1
184,1,2,1,0,2,0,0,0,0,3
185,1,2,1,1,2,0,0,0,0,6
186,1,2,1,1,2,0,2,0,0,7
187,1,2,1,1,2,0,2,1,0,5
188,1,2,1,1,2,2,2,1,0,8
189,0,0,0,0,0,0,0,0,0,4
190,0,0,0,0,1,0,0,0,0,0
191,2,0,0,0,1,0,0,0,0,6
192,2,0,0,0,1,0,1,0,0,2
193,2,0,2,0,1,0,1,0,0,1
194,2,1,2,0,1,0,1,0,0,7
195,2,1,2,0,1,0,1,2,0,3
196,2,1,2,1,1,0,1,2,0,5
197,2,1,2,1,1,2,1,2,0,8
198,0,0,0,0,0,0,0,0,0,0
199,1,0,0,0,0,0,0,0,0,4
200,1,0,0,0,2,0,0,0,0,2
201,1,0,1,0,2,0,0,0,0,1
202,1,2,1,0,2,0,0,0,0,3
203,1,2,1,1,2,0,0,0,0,6
204,1,2,1,1,2,0,2,0,0,7
205,1,2,1,1,2,0,2,1,0,8
206,1,2,1,1,2,0,2,1,2,5
207,0,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,0,0,4
209,1,0,0,0,2,0,0,0,0,2
210,1,0,1,0,2,0,0,0,0,1
211,1,2,1,0,2,0,0,0,0,3
212,1,2,1,1,2,0,0,0,0,6
213,1,2,1,1,2,0,2,0,0,7
214,1,2,1,1,2,0,2,1,0,8
215,1,2,1,1,2,0,2,1,2,5
216,0,0,0,0,0,0,0,0,0,0
217,1,0,0,0,0,0,0,0,0,4
218,1,0,0,0,2,0,0,0,0,2
219,1,0,1,0,2,0,0,0,0,1
220,1,2,1,0,2,0,0,0,0,3
221,1,2,1,1,2,0,0,0,0,6
222,1,2,1,1,2,0,2,0,0,7
223,1,2,1,1,2,0,2,1,0,5
224,1,2,1,1,2,2,2,1,0,8
225,0,0,0,0,0,0,0,0,0,4
226,0,0,0,0,1,0,0,0,0,0
227,2,0,0,0,1,0,0,0,0,1
228,2,1,0,0,1,0,0,0,0,7
229,2,1,0,0,1,0,0,2,0,6
230,2,1,0,0,1,0,1,2,0,2
231,2,1,2,0,1,0,1,2,0,5
232,2,1,2,0,1,1,1,2,0,3
233,2,1,2,2,1,1,1,2,0,8
234,0,0,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,0,0,0,4
236,1,0,0,0,2,0,0,0,0,2
237,1,0,1,0,2,0,0,0,0,1
238,1,2,1,0,2,0,0,0,0,3
239,1,2,1,1,2,0,0,0,0,6
240,1,2,1,1,2,0,2,0,0,7
241,1,2,1,1,2,0,2,1,0,8
242,1,2,1,1,2,0,2,1,2,5
243,0,0,0,0,0,0,0,0,0,4
244,0,0,0,0,1,0,0,0,0,0
245,2,0,0,0,1,0,0,0,0,2
246,2,0,1,0,1,0,0,0,0,6
247,2,0,1,0,1,0,2,0,0,3
248,2,0,1,1,1,0,2,0,0,5
249,2,0,1,1,1,2,2,0,0,1
250,2,1,1,1,1,2,2,0,0,7
251,2,1,1,1,1,2,2,2,0,8
252,0,0,0,0,0,0,0,0,0,4
253,0,0,0,0,1,0,0,0,0,0
254,2,0,0,0,1,0,0,0,0,2
255,2,0,1,0,1,0,0,0,0,6
256,2,0,1,0,1,0,2,0,0,3
257,2,0,1,1,1,0,2,0,0,5
