,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,1,0,0,0,0,0
2,2,0,0,0,1,0,0,0,0,3
3,2,0,0,1,1,0,0,0,0,5
4,2,0,0,1,1,2,0,0,0,1
5,2,1,0,1,1,2,0,0,0,7
6,2,1,0,1,1,2,0,2,0,6
7,2,1,0,1,1,2,1,2,0,2
8,2,1,2,1,1,2,1,2,0,8
9,0,0,0,0,0,0,0,0,0,2
10,0,0,1,0,0,0,0,0,0,0
11,2,0,1,0,0,0,0,0,0,3
12,2,0,1,1,0,0,0,0,0,4
13,2,0,1,1,2,0,0,0,0,8
14,2,0,1,1,2,0,0,0,1,7
15,2,0,1,1,2,0,0,2,1,1
16,2,1,1,1,2,0,0,2,1,5
17,2,1,1,1,2,2,0,2,1,6
18,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,4
20,1,0,0,0,2,0,0,0,0,2
21,1,0,1,0,2,0,0,0,0,1
22,1,2,1,0,2,0,0,0,0,3
23,1,2,1,1,2,0,0,0,0,6
24,1,2,1,1,2,0,2,0,0,7
25,1,2,1,1,2,0,2,1,0,5
26,1,2,1,1,2,2,2,1,0,8
27,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,4
29,1,0,0,0,2,0,0,0,0,2
30,1,0,1,0,2,0,0,0,0,1
31,1,2,1,0,2,0,0,0,0,7
32,1,2,1,0,2,0,0,1,0,5
33,1,2,1,0,2,2,0,1,0,3
34,1,2,1,1,2,2,0,1,0,6
35,1,2,1,1,2,2,2,1,0,8
36,0,0,0,0,0,0,0,0,0,5
37,0,0,0,0,0,1,0,0,0,4
38,0,0,0,0,2,1,0,0,0,2
39,0,0,1,0,2,1,0,0,0,1
40,0,2,1,0,2,1,0,0,0,7
41,0,2,1,0,2,1,0,1,0,8
42,0,2,1,0,2,1,0,1,2,0
43,1,2,1,0,2,1,0,1,2,3
44,1,2,1,2,2,1,0,1,2,6
45,0,0,0,0,0,0,0,0,0,4
46,0,0,0,0,1,0,0,0,0,0
