,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
143,1,0,0,0,0,0,0,0,0,4
144,1,0,0,0,2,0,0,0,0,6
145,1,0,0,0,2,0,1,0,0,3
146,1,0,0,2,2,0,1,0,0,1
147,1,1,0,2,2,0,1,0,0,2
148,1,1,2,2,2,0,1,0,0,5
149,1,1,2,2,2,1,1,0,0,7
150,1,1,2,2,2,1,1,2,0,8
151,0,0,0,0,0,0,0,0,0,2
152,0,0,1,0,0,0,0,0,0,0
153,2,0,1,0,0,0,0,0,0,4
154,2,0,1,0,1,0,0,0,0,6
155,2,0,1,0,1,0,2,0,0,3
156,2,0,1,1,1,0,2,0,0,5
157,2,0,1,1,1,2,2,0,0,7
158,2,0,1,1,1,2,2,1,0,1
159,2,2,1,1,1,2,2,1,0,8
160,0,0,0,0,0,0,0,0,0,1
161,0,1,0,0,0,0,0,0,0,0
162,2,1,0,0,0,0,0,0,0,4
163,2,1,0,0,1,0,0,0,0,6
164,2,1,0,0,1,0,2,0,0,3
165,2,1,0,1,1,0,2,0,0,7
166,2,1,0,1,1,0,2,2,0,5
167,0,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,4
169,1,0,0,0,2,0,0,0,0,6
170,1,0,0,0,2,0,1,0,0,3
171,1,0,0,2,2,0,1,0,0,5
172,1,0,0,2,2,1,1,0,0,1
173,1,2,0,2,2,1,1,0,0,7
174,1,2,0,2,2,1,1,1,0,8
175,1,2,0,2,2,1,1,1,2,2
176,0,0,0,0,0,0,0,0,0,0
177,1,0,0,0,0,0,0,0,0,4
178,1,0,0,0,2,0,0,0,0,2
179,1,0,1,0,2,0,0,0,0,1
180,1,2,1,0,2,0,0,0,0,5
181,1,2,1,0,2,1,0,0,0,7
182,0,0,0,0,0,0,0,0,0,0
183,1,0,0,0,0,0,0,0,0,4
184,1,0,0,0,2,0,0,0,0,2
185,1,0,1,0,2,0,0,0,0,1
186,1,2,1,0,2,0,0,0,0,5
187,1,2,1,0,2,1,0,0,0,7
188,0,0,0,0,0,0,0,0,0,0
189,1,0,0,0,0,0,0,0,0,4
190,1,0,0,0,2,0,0,0,0,6
191,1,0,0,0,2,0,1,0,0,3
192,1,0,0,2,2,0,1,0,0,5
193,1,0,0,2,2,1,1,0,0,1
194,1,2,0,2,2,1,1,0,0,7
195,1,2,0,2,2,1,1,1,0,8
196,1,2,0,2,2,1,1,1,2,2
197,0,0,0,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0,4
199,1,0,0,0,2,0,0,0,0,3
200,1,0,0,1,2,0,0,0,0,6
201,1,0,0,1,2,0,2,0,0,2
202,1,0,1,1,2,0,2,0,0,1
203,1,2,1,1,2,0,2,0,0,7
204,1,2,1,1,2,0,2,1,0,5
205,1,2,1,1,2,2,2,1,0,8
206,0,0,0,0,0,0,0,0,0,0
207,1,0,0,0,0,0,0,0,0,4
208,1,0,0,0,2,0,0,0,0,2
209,1,0,1,0,2,0,0,0,0,1
210,1,2,1,0,2,0,0,0,0,3
211,1,2,1,1,2,0,0,0,0,6
212,1,2,1,1,2,0,2,0,0,7
213,1,2,1,1,2,0,2,1,0,5
214,1,2,1,1,2,2,2,1,0,8
215,0,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,0,0,0,4
217,1,0,0,0,2,0,0,0,0,2
218,1,0,1,0,2,0,0,0,0,1
219,1,2,1,0,2,0,0,0,0,5
220,1,2,1,0,2,1,0,0,0,7
221,0,0,0,0,0,0,0,0,0,4
222,0,0,0,0,1,0,0,0,0,0
223,2,0,0,0,1,0,0,0,0,2
224,2,0,1,0,1,0,0,0,0,6
225,2,0,1,0,1,0,2,0,0,3
226,2,0,1,1,1,0,2,0,0,5
227,2,0,1,1,1,2,2,0,0,7
228,2,0,1,1,1,2,2,1,0,1
229,2,2,1,1,1,2,2,1,0,8
230,0,0,0,0,0,0,0,0,0,4
231,0,0,0,0,1,0,0,0,0,0
232,2,0,0,0,1,0,0,0,0,1
233,2,1,0,0,1,0,0,0,0,7
234,2,1,0,0,1,0,0,2,0,5
235,2,1,0,0,1,1,0,2,0,3
236,2,1,0,2,1,1,0,2,0,6
237,2,1,0,2,1,1,1,2,0,2
238,2,1,2,2,1,1,1,2,0,8
239,0,0,0,0,0,0,0,0,0,3
240,0,0,0,1,0,0,0,0,0,4
241,0,0,0,1,2,0,0,0,0,2
242,0,0,1,1,2,0,0,0,0,0
243,2,0,1,1,2,0,0,0,0,8
244,2,0,1,1,2,0,0,0,1,7
245,2,0,1,1,2,0,0,2,1,1
246,2,1,1,1,2,0,0,2,1,5
247,2,1,1,1,2,2,0,2,1,6
248,0,0,0,0,0,0,0,0,0,0
249,1,0,0,0,0,0,0,0,0,4
250,1,0,0,0,2,0,0,0,0,6
251,1,0,0,0,2,0,1,0,0,3
252,1,0,0,2,2,0,1,0,0,5
253,1,0,0,2,2,1,1,0,0,7
254,1,0,0,2,2,1,1,2,0,1
255,1,1,0,2,2,1,1,2,0,2
256,1,1,2,2,2,1,1,2,0,8
257,0,0,0,0,0,0,0,0,0,0
258,1,0,0,0,0,0,0,0,0,4
259,1,0,0,0,2,0,0,0,0,2
260,1,0,1,0,2,0,0,0,0,1
261,1,2,1,0,2,0,0,0,0,3
262,1,2,1,1,2,0,0,0,0,6
263,1,2,1,1,2,0,2,0,0,7
264,1,2,1,1,2,0,2,1,0,8
265,1,2,1,1,2,0,2,1,2,5
266,0,0,0,0,0,0,0,0,0,0
267,1,0,0,0,0,0,0,0,0,4
268,1,0,0,0,2,0,0,0,0,2
269,1,0,1,0,2,0,0,0,0,1
270,1,2,1,0,2,0,0,0,0,3
271,1,2,1,1,2,0,0,0,0,6
272,1,2,1,1,2,0,2,0,0,7
273,1,2,1,1,2,0,2,1,0,8
274,1,2,1,1,2,0,2,1,2,5
275,0,0,0,0,0,0,0,0,0,2
276,0,0,1,0,0,0,0,0,0,4
277,0,0,1,0,2,0,0,0,0,3
278,0,0,1,1,2,0,0,0,0,0
279,2,0,1,1,2,0,0,0,0,8
280,2,0,1,1,2,0,0,0,1,7
281,2,0,1,1,2,0,0,2,1,1
282,2,1,1,1,2,0,0,2,1,5
283,2,1,1,1,2,2,0,2,1,6
284,0,0,0,0,0,0,0,0,0,0
285,1,0,0,0,0,0,0,0,0,4
286,1,0,0,0,2,0,0,0,0,2
287,1,0,1,0,2,0,0,0,0,1
288,1,2,1,0,2,0,0,0,0,7
289,1,2,1,0,2,0,0,1,0,3
290,1,2,1,2,2,0,0,1,0,5
291,1,2,1,2,2,1,0,1,0,8
292,1,2,1,2,2,1,0,1,2,6
293,0,0,0,0,0,0,0,0,0,0
294,1,0,0,0,0,0,0,0,0,4
295,1,0,0,0,2,0,0,0,0,2
296,1,0,1,0,2,0,0,0,0,1
297,1,2,1,0,2,0,0,0,0,3
298,1,2,1,1,2,0,0,0,0,6
299,1,2,1,1,2,0,2,0,0,7
300,1,2,1,1,2,0,2,1,0,8
301,1,2,1,1,2,0,2,1,2,5
302,0,0,0,0,0,0,0,0,0,2
303,0,0,1,0,0,0,0,0,0,4
304,0,0,1,0,2,0,0,0,0,0
305,1,0,1,0,2,0,0,0,0,1
306,1,2,1,0,2,0,0,0,0,7
307,1,2,1,0,2,0,0,1,0,5
308,1,2,1,0,2,2,0,1,0,3
309,1,2,1,1,2,2,0,1,0,6
310,1,2,1,1,2,2,2,1,0,8
311,0,0,0,0,0,0,0,0,0,5
312,0,0,0,0,0,1,0,0,0,4
313,0,0,0,0,2,1,0,0,0,2
314,0,0,1,0,2,1,0,0,0,1
315,0,2,1,0,2,1,0,0,0,7
316,0,2,1,0,2,1,0,1,0,8
317,0,2,1,0,2,1,0,1,2,0
318,1,2,1,0,2,1,0,1,2,6
319,1,2,1,0,2,1,2,1,2,3
320,0,0,0,0,0,0,0,0,0,2
321,0,0,1,0,0,0,0,0,0,4
322,0,0,1,0,2,0,0,0,0,6
323,0,0,1,0,2,0,1,0,0,0
324,2,0,1,0,2,0,1,0,0,8
325,2,0,1,0,2,0,1,0,1,7
326,2,0,1,0,2,0,1,2,1,1
327,2,1,1,0,2,0,1,2,1,5
328,2,1,1,0,2,2,1,2,1,3
329,0,0,0,0,0,0,0,0,0,0
330,1,0,0,0,0,0,0,0,0,4
331,1,0,0,0,2,0,0,0,0,2
332,1,0,1,0,2,0,0,0,0,1
333,1,2,1,0,2,0,0,0,0,3
334,1,2,1,1,2,0,0,0,0,6
335,1,2,1,1,2,0,2,0,0,7
336,1,2,1,1,2,0,2,1,0,8
337,1,2,1,1,2,0,2,1,2,5
338,0,0,0,0,0,0,0,0,0,0
339,1,0,0,0,0,0,0,0,0,4
340,1,0,0,0,2,0,0,0,0,6
341,1,0,0,0,2,0,1,0,0,3
342,1,0,0,2,2,0,1,0,0,1
343,1,1,0,2,2,0,1,0,0,2
344,1,1,2,2,2,0,1,0,0,5
345,1,1,2,2,2,1,1,0,0,8
346,1,1,2,2,2,1,1,0,2,7
347,0,0,0,0,0,0,0,0,0,4
348,0,0,0,0,1,0,0,0,0,0
349,2,0,0,0,1,0,0,0,0,3
350,2,0,0,1,1,0,0,0,0,5
351,2,0,0,1,1,2,0,0,0,2
352,2,0,1,1,1,2,0,0,0,6
353,2,0,1,1,1,2,2,0,0,1
354,2,1,1,1,1,2,2,0,0,7
355,2,1,1,1,1,2,2,2,0,8
356,0,0,0,0,0,0,0,0,0,4
357,0,0,0,0,1,0,0,0,0,0
358,2,0,0,0,1,0,0,0,0,3
359,2,0,0,1,1,0,0,0,0,5
360,2,0,0,1,1,2,0,0,0,1
361,2,1,0,1,1,2,0,0,0,7
