,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
131,2,1,0,0,1,0,0,0,0,2,3
132,2,1,0,2,1,0,0,0,0,1,6
133,2,1,0,2,1,0,1,0,0,2,8
134,2,1,0,2,1,0,1,0,2,1,2
135,0,0,0,0,0,0,0,0,0,1,4
136,0,0,0,0,1,0,0,0,0,2,5
137,0,0,0,0,1,2,0,0,0,1,0
138,1,0,0,0,1,2,0,0,0,2,2
139,1,0,2,0,1,2,0,0,0,1,7
140,1,0,2,0,1,2,0,1,0,2,3
141,1,0,2,2,1,2,0,1,0,1,6
142,1,0,2,2,1,2,1,1,0,2,1
143,1,2,2,2,1,2,1,1,0,1,8
144,0,0,0,0,0,0,0,0,0,1,4
145,0,0,0,0,1,0,0,0,0,2,1
146,0,2,0,0,1,0,0,0,0,1,0
147,1,2,0,0,1,0,0,0,0,2,7
148,1,2,0,0,1,0,0,2,0,1,3
149,1,2,0,1,1,0,0,2,0,2,2
150,1,2,2,1,1,0,0,2,0,1,8
151,0,0,0,0,0,0,0,0,0,1,0
152,1,0,0,0,0,0,0,0,0,2,4
153,1,0,0,0,2,0,0,0,0,1,6
154,1,0,0,0,2,0,1,0,0,2,8
155,1,0,0,0,2,0,1,0,2,1,3
156,0,0,0,0,0,0,0,0,0,1,0
157,1,0,0,0,0,0,0,0,0,2,2
158,1,0,2,0,0,0,0,0,0,1,4
159,1,0,2,0,1,0,0,0,0,2,3
160,1,0,2,2,1,0,0,0,0,1,8
161,0,0,0,0,0,0,0,0,0,1,0
162,1,0,0,0,0,0,0,0,0,2,5
163,1,0,0,0,0,2,0,0,0,1,4
164,1,0,0,0,1,2,0,0,0,2,6
165,1,0,0,0,1,2,2,0,0,1,1
166,1,1,0,0,1,2,2,0,0,2,3
167,1,1,0,2,1,2,2,0,0,1,7
168,0,0,0,0,0,0,0,0,0,1,0
169,1,0,0,0,0,0,0,0,0,2,6
170,1,0,0,0,0,0,2,0,0,1,4
171,1,0,0,0,1,0,2,0,0,2,7
172,1,0,0,0,1,0,2,2,0,1,5
173,1,0,0,0,1,1,2,2,0,2,2
174,1,0,2,0,1,1,2,2,0,1,1
175,1,1,2,0,1,1,2,2,0,2,3
176,1,1,2,2,1,1,2,2,0,1,8
177,0,0,0,0,0,0,0,0,0,1,4
178,0,0,0,0,1,0,0,0,0,2,0
179,2,0,0,0,1,0,0,0,0,1,3
180,2,0,0,1,1,0,0,0,0,2,7
181,2,0,0,1,1,0,0,2,0,1,5
182,0,0,0,0,0,0,0,0,0,1,0
183,1,0,0,0,0,0,0,0,0,2,3
184,1,0,0,2,0,0,0,0,0,1,4
185,1,0,0,2,1,0,0,0,0,2,1
186,1,2,0,2,1,0,0,0,0,1,8
187,0,0,0,0,0,0,0,0,0,1,4
188,0,0,0,0,1,0,0,0,0,2,3
189,0,0,0,2,1,0,0,0,0,1,0
190,1,0,0,2,1,0,0,0,0,2,7
191,1,0,0,2,1,0,0,2,0,1,8
192,0,0,0,0,0,0,0,0,0,1,0
193,1,0,0,0,0,0,0,0,0,2,4
194,1,0,0,0,2,0,0,0,0,1,2
195,1,0,1,0,2,0,0,0,0,2,3
196,1,0,1,2,2,0,0,0,0,1,1
197,0,0,0,0,0,0,0,0,0,1,0
198,1,0,0,0,0,0,0,0,0,2,5
199,1,0,0,0,0,2,0,0,0,1,4
200,1,0,0,0,1,2,0,0,0,2,7
201,1,0,0,0,1,2,0,2,0,1,2
202,1,0,1,0,1,2,0,2,0,2,1
203,1,2,1,0,1,2,0,2,0,1,6
204,0,0,0,0,0,0,0,0,0,1,4
205,0,0,0,0,1,0,0,0,0,2,0
206,2,0,0,0,1,0,0,0,0,1,3
207,2,0,0,1,1,0,0,0,0,2,5
208,2,0,0,1,1,2,0,0,0,1,2
209,2,0,1,1,1,2,0,0,0,2,7
210,2,0,1,1,1,2,0,2,0,1,6
211,0,0,0,0,0,0,0,0,0,1,0
212,1,0,0,0,0,0,0,0,0,2,6
213,1,0,0,0,0,0,2,0,0,1,4
214,1,0,0,0,1,0,2,0,0,2,2
215,1,0,2,0,1,0,2,0,0,1,1
216,1,1,2,0,1,0,2,0,0,2,8
217,1,1,2,0,1,0,2,0,2,1,7
218,0,0,0,0,0,0,0,0,0,1,0
219,1,0,0,0,0,0,0,0,0,2,4
220,1,0,0,0,2,0,0,0,0,1,6
221,1,0,0,0,2,0,1,0,0,2,1
222,1,2,0,0,2,0,1,0,0,1,3
223,0,0,0,0,0,0,0,0,0,1,4
224,0,0,0,0,1,0,0,0,0,2,0
225,2,0,0,0,1,0,0,0,0,1,1
226,2,1,0,0,1,0,0,0,0,2,5
227,2,1,0,0,1,2,0,0,0,1,7
228,0,0,0,0,0,0,0,0,0,1,4
229,0,0,0,0,1,0,0,0,0,2,1
230,0,2,0,0,1,0,0,0,0,1,0
231,1,2,0,0,1,0,0,0,0,2,2
232,1,2,2,0,1,0,0,0,0,1,3
233,1,2,2,1,1,0,0,0,0,2,6
234,1,2,2,1,1,0,2,0,0,1,7
235,1,2,2,1,1,0,2,1,0,2,5
236,1,2,2,1,1,2,2,1,0,1,8
237,0,0,0,0,0,0,0,0,0,1,0
238,1,0,0,0,0,0,0,0,0,2,5
239,1,0,0,0,0,2,0,0,0,1,4
240,1,0,0,0,1,2,0,0,0,2,3
241,1,0,0,2,1,2,0,0,0,1,6
242,1,0,0,2,1,2,1,0,0,2,7
243,1,0,0,2,1,2,1,2,0,1,2
244,0,0,0,0,0,0,0,0,0,1,0
245,1,0,0,0,0,0,0,0,0,2,1
246,1,2,0,0,0,0,0,0,0,1,4
247,1,2,0,0,1,0,0,0,0,2,7
248,1,2,0,0,1,0,0,2,0,1,5
249,1,2,0,0,1,1,0,2,0,2,6
250,1,2,0,0,1,1,2,2,0,1,3
251,0,0,0,0,0,0,0,0,0,1,4
252,0,0,0,0,1,0,0,0,0,2,1
253,0,2,0,0,1,0,0,0,0,1,0
254,1,2,0,0,1,0,0,0,0,2,6
255,1,2,0,0,1,0,2,0,0,1,8
256,0,0,0,0,0,0,0,0,0,1,0
257,1,0,0,0,0,0,0,0,0,2,6
258,1,0,0,0,0,0,2,0,0,1,4
259,1,0,0,0,1,0,2,0,0,2,7
260,1,0,0,0,1,0,2,2,0,1,8
261,0,0,0,0,0,0,0,0,0,1,0
262,1,0,0,0,0,0,0,0,0,2,4
263,1,0,0,0,2,0,0,0,0,1,2
264,1,0,1,0,2,0,0,0,0,2,1
265,1,2,1,0,2,0,0,0,0,1,3
266,1,2,1,1,2,0,0,0,0,2,7
267,0,0,0,0,0,0,0,0,0,1,4
268,0,0,0,0,1,0,0,0,0,2,2
269,0,0,2,0,1,0,0,0,0,1,0
270,1,0,2,0,1,0,0,0,0,2,8
271,1,0,2,0,1,0,0,0,2,1,3
272,1,0,2,1,1,0,0,0,2,2,6
273,1,0,2,1,1,0,2,0,2,1,1
274,1,1,2,1,1,0,2,0,2,2,5
275,0,0,0,0,0,0,0,0,0,1,4
276,0,0,0,0,1,0,0,0,0,2,8
277,0,0,0,0,1,0,0,0,2,1,1
278,0,1,0,0,1,0,0,0,2,2,0
279,2,1,0,0,1,0,0,0,2,1,3
280,2,1,0,1,1,0,0,0,2,2,5
281,2,1,0,1,1,2,0,0,2,1,7
282,0,0,0,0,0,0,0,0,0,1,4
283,0,0,0,0,1,0,0,0,0,2,3
284,0,0,0,2,1,0,0,0,0,1,0
285,1,0,0,2,1,0,0,0,0,2,5
286,1,0,0,2,1,2,0,0,0,1,2
287,1,0,1,2,1,2,0,0,0,2,1
288,1,2,1,2,1,2,0,0,0,1,6
289,0,0,0,0,0,0,0,0,0,1,4
290,0,0,0,0,1,0,0,0,0,2,2
291,0,0,2,0,1,0,0,0,0,1,0
292,1,0,2,0,1,0,0,0,0,2,3
293,1,0,2,2,1,0,0,0,0,1,8
294,0,0,0,0,0,0,0,0,0,1,0
295,1,0,0,0,0,0,0,0,0,2,5
296,1,0,0,0,0,2,0,0,0,1,4
297,1,0,0,0,1,2,0,0,0,2,1
298,1,2,0,0,1,2,0,0,0,1,6
299,1,2,0,0,1,2,1,0,0,2,8
300,1,2,0,0,1,2,1,0,2,1,2
301,0,0,0,0,0,0,0,0,0,1,0
302,1,0,0,0,0,0,0,0,0,2,6
303,1,0,0,0,0,0,2,0,0,1,4
304,1,0,0,0,1,0,2,0,0,2,2
305,1,0,2,0,1,0,2,0,0,1,5
306,1,0,2,0,1,1,2,0,0,2,1
307,1,2,2,0,1,1,2,0,0,1,7
308,1,2,2,0,1,1,2,1,0,2,8
309,1,2,2,0,1,1,2,1,2,1,3
310,0,0,0,0,0,0,0,0,0,1,0
311,1,0,0,0,0,0,0,0,0,2,6
312,1,0,0,0,0,0,2,0,0,1,4
313,1,0,0,0,1,0,2,0,0,2,2
314,1,0,2,0,1,0,2,0,0,1,7
315,1,0,2,0,1,0,2,1,0,2,5
316,1,0,2,0,1,2,2,1,0,1,8
317,0,0,0,0,0,0,0,0,0,1,0
318,1,0,0,0,0,0,0,0,0,2,3
319,1,0,0,2,0,0,0,0,0,1,4
320,1,0,0,2,1,0,0,0,0,2,2
321,1,0,2,2,1,0,0,0,0,1,8
322,0,0,0,0,0,0,0,0,0,1,0
323,1,0,0,0,0,0,0,0,0,2,5
324,1,0,0,0,0,2,0,0,0,1,4
325,1,0,0,0,1,2,0,0,0,2,3
326,1,0,0,2,1,2,0,0,0,1,2
327,1,0,1,2,1,2,0,0,0,2,7
328,1,0,1,2,1,2,0,2,0,1,6
329,0,0,0,0,0,0,0,0,0,1,4
330,0,0,0,0,1,0,0,0,0,2,2
331,0,0,2,0,1,0,0,0,0,1,0
332,1,0,2,0,1,0,0,0,0,2,1
333,1,2,2,0,1,0,0,0,0,1,3
334,1,2,2,1,1,0,0,0,0,2,5
335,1,2,2,1,1,2,0,0,0,1,7
336,1,2,2,1,1,2,0,1,0,2,6
337,1,2,2,1,1,2,2,1,0,1,8
338,0,0,0,0,0,0,0,0,0,1,4
339,0,0,0,0,1,0,0,0,0,2,5
340,0,0,0,0,1,2,0,0,0,1,0
341,1,0,0,0,1,2,0,0,0,2,1
342,1,2,0,0,1,2,0,0,0,1,6
343,1,2,0,0,1,2,1,0,0,2,8
344,1,2,0,0,1,2,1,0,2,1,7
345,1,2,0,0,1,2,1,1,2,2,3
346,1,2,0,2,1,2,1,1,2,1,2
347,0,0,0,0,0,0,0,0,0,1,4
348,0,0,0,0,1,0,0,0,0,2,0
349,2,0,0,0,1,0,0,0,0,1,3
350,2,0,0,1,1,0,0,0,0,2,6
351,2,0,0,1,1,0,2,0,0,1,5
352,0,0,0,0,0,0,0,0,0,1,0
353,1,0,0,0,0,0,0,0,0,2,1
