,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
131,1,1,0,2,2,0,1,0,0,2,2
132,1,1,2,2,2,0,1,0,0,1,5
133,1,1,2,2,2,1,1,0,0,2,7
134,1,1,2,2,2,1,1,2,0,1,8
135,0,0,0,0,0,0,0,0,0,1,0
136,1,0,0,0,0,0,0,0,0,2,4
137,1,0,0,0,2,0,0,0,0,1,2
138,1,0,1,0,2,0,0,0,0,2,1
139,1,2,1,0,2,0,0,0,0,1,3
140,1,2,1,1,2,0,0,0,0,2,6
141,1,2,1,1,2,0,2,0,0,1,7
142,1,2,1,1,2,0,2,1,0,2,5
143,1,2,1,1,2,2,2,1,0,1,8
144,0,0,0,0,0,0,0,0,0,1,0
145,1,0,0,0,0,0,0,0,0,2,4
146,1,0,0,0,2,0,0,0,0,1,6
147,1,0,0,0,2,0,1,0,0,2,3
148,1,0,0,2,2,0,1,0,0,1,1
149,1,1,0,2,2,0,1,0,0,2,2
150,1,1,2,2,2,0,1,0,0,1,5
151,1,1,2,2,2,1,1,0,0,2,7
152,1,1,2,2,2,1,1,2,0,1,8
153,0,0,0,0,0,0,0,0,0,1,0
154,1,0,0,0,0,0,0,0,0,2,4
155,1,0,0,0,2,0,0,0,0,1,6
156,1,0,0,0,2,0,1,0,0,2,3
157,1,0,0,2,2,0,1,0,0,1,1
158,1,1,0,2,2,0,1,0,0,2,2
159,1,1,2,2,2,0,1,0,0,1,5
160,1,1,2,2,2,1,1,0,0,2,7
161,1,1,2,2,2,1,1,2,0,1,8
162,0,0,0,0,0,0,0,0,0,1,0
163,1,0,0,0,0,0,0,0,0,2,4
164,1,0,0,0,2,0,0,0,0,1,2
165,1,0,1,0,2,0,0,0,0,2,1
166,1,2,1,0,2,0,0,0,0,1,3
167,1,2,1,1,2,0,0,0,0,2,6
168,1,2,1,1,2,0,2,0,0,1,7
169,1,2,1,1,2,0,2,1,0,2,5
170,1,2,1,1,2,2,2,1,0,1,8
171,0,0,0,0,0,0,0,0,0,1,0
172,1,0,0,0,0,0,0,0,0,2,4
173,1,0,0,0,2,0,0,0,0,1,2
174,1,0,1,0,2,0,0,0,0,2,1
175,1,2,1,0,2,0,0,0,0,1,3
176,1,2,1,1,2,0,0,0,0,2,6
177,1,2,1,1,2,0,2,0,0,1,7
178,1,2,1,1,2,0,2,1,0,2,5
179,1,2,1,1,2,2,2,1,0,1,8
180,0,0,0,0,0,0,0,0,0,1,0
181,1,0,0,0,0,0,0,0,0,2,4
182,1,0,0,0,2,0,0,0,0,1,2
183,1,0,1,0,2,0,0,0,0,2,1
184,1,2,1,0,2,0,0,0,0,1,3
185,1,2,1,1,2,0,0,0,0,2,6
186,1,2,1,1,2,0,2,0,0,1,7
187,1,2,1,1,2,0,2,1,0,2,5
188,1,2,1,1,2,2,2,1,0,1,8
189,0,0,0,0,0,0,0,0,0,1,0
190,1,0,0,0,0,0,0,0,0,2,4
191,1,0,0,0,2,0,0,0,0,1,6
192,1,0,0,0,2,0,1,0,0,2,3
193,1,0,0,2,2,0,1,0,0,1,1
194,1,1,0,2,2,0,1,0,0,2,2
